slug,provider,actionButtons,toolType,tag,price,planType,planName,description,starred
blueprint,Blueprint,"[""[GitHub](https://github.com/ton-org/blueprint)""]",Framework,"[""Smart Contract Framework"",""Tact"",""FunC"",""Testing""]",$0,Free,Open Source,"The official development environment for writing, testing, and deploying smart contracts on TON. Similar to Hardhat but for the TVM",TRUE
tact-lang,Tact,"[""[Website](https://tact-lang.org/)"",""[Docs](https://docs.tact-lang.org/)""]",Programming Language,"[""Smart Contracts"",""Language"",""High-Level""]",$0,Free,Open Source,"A new, high-level programming language for TON smart contracts that is strongly typed and designed to be familiar to TypeScript/Rust developers",TRUE
func-lang,FunC,"[""[Docs](https://docs.ton.org/develop/func/overview)""]",Programming Language,"[""Smart Contracts"",""Language"",""Low-Level""]",$0,Free,Open Source,"The lower-level, C-like programming language used to write raw smart contracts for the TON Virtual Machine (TVM)",FALSE
ton-connect-sdk,TonConnect SDK,"[""[Website](https://ton-connect.github.io/sdk/)""]",SDK,"[""Wallet Connect"",""Frontend"",""Authentication""]",$0,Free,Open Source,"The standard protocol and SDK for connecting TON wallets to decentralized applications (dApps), replacing standard WalletConnect in the TON ecosystem",TRUE
ton-sandbox,Ton Sandbox,"[""[GitHub](https://github.com/ton-org/sandbox)""]",Testing and debuggin,"[""Local Blockchain"",""Testing"",""Debug""]",$0,Free,Open Source,"A tool that allows developers to run a local instance of the TON blockchain for rapid smart contract testing and debugging",FALSE
jetbrains-intellij-ton,IntelliJ TON Plugin,"[""[Marketplace](https://plugins.jetbrains.com/plugin/18541-ton)""]",Tool,"[""IDE"",""Syntax Highlighting"",""FunC"",""Tact""]",$0,Free,Open Source,"The official IntelliJ/IDEA plugin providing syntax highlighting, code completion, and tool integration for FunC and Tact development",FALSE
orbs-ton-access,Orbs TON Access,"[""[Docs](https://docs.orbs.network/v3)""]",Tool,"[""Infrastructure"",""Decentralized""]",$0,Free,Free Forever,"A decentralized infrastructure layer that provides reliable, unrestricted  access to the TON network via a network of guardian nodes",TRUE
toncli,TON CLI,"[""[GitHub](https://github.com/disintar/toncli)""]",CLI,"[""Smart Contracts"",""FunC"",""CLI"",""Deployment""]",$0,Free,Open Source,"A command-line interface for compiling, testing, and deploying FunC smart contracts on the TON blockchain, commonly used in low-level TON development workflows",FALSE
fift-lang,Fift,"[""[Docs](https://blog.ton.org/introduction-to-fift)""]",Programming Language,"[""Smart Contracts"",""Language"",""Low-Level"",""TVM""]",$0,Free,Open Source,"A low-level stack-based programming language for the TON Virtual Machine (TVM), primarily used for tooling, scripts, and advanced contract development",FALSE
ton-lite-client,TON Lite Client,"[""[GitHub](https://github.com/ton-core/ton-lite-client)""]",Tool,"[""Node"",""Infrastructure"",""Lite Client""]",$0,Free,Open Source,"The official lightweight client for interacting directly with the TON blockchain, forming the underlying protocol used by most TON RPC and API providers",FALSE
ton-connect-ui,TON Connect UI,"[""[Docs](https://docs.ton.org/ecosystem/ton-connect/overview)""]",SDK,"[""Wallet Connect"",""UI"",""Frontend"",""Authentication""]",$0,Free,Open Source,"Official UI components and helpers built on top of TON Connect that simplify wallet connection flows and transaction approval UX for TON dApps",TRUE
telegram-mini-apps-sdk,Telegram Mini Apps,"[""[Github](https://github.com/telegram-mini-apps)""]",SDK,"[""Telegram"",""Mini Apps"",""Payments"",""TON""]",$0,Free,Platform SDK,"The official Telegram Mini Apps SDK enabling developers to build in-app experiences with native TON wallet connectivity and blockchain-based payments",TRUE
