slug,provider,dataSources,hasDashboard,availableApis,price,starred,actionButtons
arkham,Arkham,"[""Transactions"",""Active Users"",""Contracts"",""DApp Interactions""]",TRUE,"[""REST API"",""WebSocket API"",""Arkham Exchange API""]",Custom,FALSE,"[""[Dashboard](https://intel.arkm.com/dashboards/explore)""]"
blockworks,Blockworks,"[""Network fees"",""Transaction activity"",""Contracts deployed"",""Tokens created"",""Retention rate"",""Economics per defi type"",""AI Agents"",""Stablecoins swaps"",""Meme coins""]",TRUE,"[""Data API"",""Supported Data Types"",""Additional Tools and Libraries""]",$0,FALSE,"[""[Dashboard](https://blockworks.com/analytics)""]"
cid-checker,CID Checker,"[""Active Deals"",""Verified Deals""]",FALSE,"[""REST API""]",$0,FALSE,"[""[Dashboard](https://filecoin.tools/)""]"
cryptoquant,CryptoQuant,"[""Exchange Reserves"",""Network Transactions"",""Derivatives Data"",""Staking Data"",""Market Price/Volume""]",TRUE,"[""REST API""]","$0/$39/$109/mo (monthly plan), $0/$29/$99/$799/mo (yearly plan)",FALSE,"[""[Dashboard](https://cryptoquant.com/asset/eth)""]"
dappradar,DappRadar,"[""Unique active wallets"",""Txs volume"",""Dapps number"",""Dapps volume"",""NFTs stats""]",TRUE,"[""REST API"",""No historical data on free API""]",api for $0/$9.99/$199/$499 for 5/5/30/50 RPS and 100/2.5K/100K/1M RPM,FALSE,"[""[Dashboard](https://dappradar.com/)""]"
defillama,DeFiLlama,"[""DeFi TVL"",""DEX & Perps Volume"",""Bridged Assets"",""Active Addresses"",""Stablecoin Supply""]",TRUE,"[""REST API""]","$0/$49/$300/mo (monthly plan), $0 (2 months free)/$40.83/mo ($490/year)/$250/mo (3K/year) (yearly plan)",FALSE,"[""[Dashboard](https://defillama.com/)""]"
dexscreener,DexScreener,"[""DEX Trading Pairs"",""Token Prices"",""Volume"",""Liquidity"",""Swaps""]",TRUE,"[""REST API""]",$0,FALSE,"[""[Dashboard](https://dexscreener.com/)""]"
dune,Dune,"[""Transactions"",""Gas Usage"",""Bridge Activity"",""Active Users"",""Token Transfers"",""Smart Contract Activity""]",TRUE,"[""SQL Queries"",""Visualizations""]","$0/$75/$399/mo (monthly plan), $0/$65/$349/mo (yearly plan)",FALSE,"[""[Dashboard](https://dune.com/)""]"
fil-plus-datacap,FilPlus DataCap Stats,"[""DataCap Usage"",""DataCap Allocators"", ""DataCap Clients"",""Storage Providers"",""Retrieval Success Rate"",""Storage provider compliance"",""Storage Provider Audit""]",TRUE,"[""REST API""]",$0,FALSE,"[""[Dashboard](https://datacapstats.io/about)""]"
glassnode,Glassnode,"[""Address Metrics"",""Supply Dynamics"",""Exchange Reserves"",""Fee Revenue"",""Holder Metrics""]",TRUE,"[""REST API""]","$0/$99/$999/mo (monthly plan), $0/$49/$999/mo (yearly plan)",FALSE,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ETH)""]"
growthepie,growthepie,"[""Active wallets"",""Transactions Volume"",""Transactions throughput"",""Value secured"",""Revenue"",""Transactions costs"",""Most active contracts"",""Risk analysis""]",TRUE,"[""REST API""]",$0,FALSE,"[""[Dashboard](https://growthepie.com/)""]"
jiffyscan,jiffyscan.xyz,"[""ERC4337 analytics""]",TRUE,"[""REST API""]","$0/$54/$103/mo (monthly plan), $0/$43/$83/mo (yearly plan)",FALSE,"[""[Dashboard](https://jiffyscan.xyz/)""]"
l2beat,L2BEAT,"[""TVL"",""On-chain costs"",""Risk analysis"",""Technical chain analysis""]",TRUE,"[""REST API""]",$0,FALSE,"[""[Dashboard](https://l2beat.com)""]"
messari,Messari,"[""Network Metrics"",""TVL & Market Data"",""On‑chain Usage Metrics""]",TRUE,"[""Research Reports"",""API Access"",""Dashboard""]",$0 (7-day free trial)/$29.99/mo/4K/year,FALSE,"[""[Dashboard](https://messari.io/)""]"
nansen,Nansen,"[""Exchange Flows"",""Token Distribution"",""DeFi Activity"",""NFT Analytics"",""Wallet Labels""]",TRUE,"[""Smart Money API"",""Profiler API"",""API Keys""]","$0/$69/mo (monthly plan), $0/$49/mo (yearly plan)",FALSE,"[""[Dashboard](https://app.nansen.ai)""]"
sentry-aleno,Sentry by Aleno,"[""Asset prices"",""TVL"",""Cross-chain activity metrics"",""Cross protocol data"",""Market analysis metrics""]",FALSE,"[""REST API""]",Custom,FALSE,"[""[Docs](https://docs.aleno.ai/apis/rest-v1)""]"
starboard,Starboard,"[""DeFI Deposits / Borrows"",""Storage Capacity"",""Data Utilization Rate"",""Active Miners"",""Capacity Added"",""Sector Onboarding"",""Sectors Expiration"",""Capacity Terminated"",""Storage Power Added"",""Sectors Added"",""Faults"",""Retrieval Success Rate"",""Block Rewards"",""Commit Pledge"",""Active Deals"",""Deal Duration"",""Deal Size"",""Deal Collateral"",""DataCap"",""Network Fee"",""Sealing cost"",""Deal Publication Cost"",""Contract Invocation Cost"",""Gas Usage"",""Circulating Supply"",""Contracts"",""Transactions"",""Active Users"",""Accounts"",""Miner Revenue""]",TRUE,"[""Scope Space API"",""Data API"",""FVM Explorer APIs"",""Hardhat plugin API""]",$0,FALSE,"[""[Dashboard](https://dashboard.starboard.ventures/dashboard/analytics#capacityservices-storage-state)""]"
statuspage,Status Page,"[""Uptime"",""System Status"",""Incident Reports""]",TRUE,"[""Status API"",""Webhooks"",""Notifications""]","$0/$29/$99/$399/$1499/mo (public page), $79/$249/$599/$1499/mo (private page), up to $300 (audience-specific page)",FALSE,"[""[Dashboard](https://www.atlassian.com/software/statuspage)""]"
tokenterminal,token terminal,"[""Active wallets"",""Active projects"",""Revenue"",""Fees""]",TRUE,"[""JSON-RPC with 60 RPS""]","$0/$350/mo (monthly plan), $0/$292/mo (yearly plan)",FALSE,"[""[Dashboard](https://tokenterminal.com/)""]"
