slug,provider,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
4everland-free,4everland,"[""[Website](https://www.4everland.org/)""]",Hosting,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications","[""Storage"",""IPFS"",""Decentralized""]",TBD,,$0,TBD,TBD,
4everland-pay-as-you-go,4everland,"[""[Docs](https://docs.4everland.org/get-started/billing-and-pricing/pricing-model)""]",Hosting,"It provides developers with a suite of tools and infrastructure to build, deploy, and host decentralized applications","[""Storage"",""IPFS"",""Decentralized""]",TBD,,Custom,TBD,TBD,
apeworx,ApeWorx,"[""[Docs](https://docs.apeworx.io/)""]",Hosting,"It provides a suite of Python-based, modular tools for Web3 developers to build, test, and deploy smart contracts and automated applications across various blockchain networks","[""Web3"",""CLI"",""Smart Contracts""]",TBD,,Custom,TBD,TBD,
apillon-free,Apillon,"[""[Website](https://apillon.io/)"",""[Docs](https://wiki.apillon.io/build/1-apillon-api.html)""]",All in one,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services","[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",Free,Egg,$0,TBD,TBD,
apillon-pay-as-you-go,Apillon,"[""[Buy](https://apillon.io/pricing)"",""[Docs](https://wiki.apillon.io/build/1-apillon-api.html)""]",All in one,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services","[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",Tiered,Caterpillar,$19.90/mo,TBD,TBD,
apillon-enterprise,Apillon,"[""[Buy](https://apillon.io/pricing)"",""[Docs](https://wiki.apillon.io/build/1-apillon-api.html)""]",All in one,"It provides developers with APIs, SDKs, and a dashboard to simplify creating decentralized applications by abstracting blockchain complexities and offering access to Polkadot parachain-powered services","[""dApp development"",""Blockchain APIs"",""Web3 APIs""]",Enterprise,Cocoon,$79.9/mo,TBD,TBD,
catapulta-free,Catapulta,"[""[Website](https://catapulta.sh/)"",""[Docs](https://catapulta.sh/)""]",Automation,It helps developers accelerate their Web3 application development by simplifying complex operations and integrating with existing workflows like Foundry and Hardhat ,"[""Catapulta.sh"",""Web3 Developer Tools"",""Blockchain Development""]",TBD,,$0,TBD,TBD,
catapulta-pay-as-you-go,Catapulta,"[""[Buy](https://catapulta.sh/pricing)"",""[Docs](https://catapulta.sh/)""]",Automation,It helps developers accelerate their Web3 application development by simplifying complex operations and integrating with existing workflows like Foundry and Hardhat ,"[""Catapulta.sh"",""Web3 Developer Tools"",""Blockchain Development""]",TBD,,up to $20/mo,TBD,TBD,
catapulta-enterprise,Catapulta,"[""[Contact](https://catapulta.sh/)"",""[Docs](https://cal.com/catapulta/30min)""]",Automation,It helps developers accelerate their Web3 application development by simplifying complex operations and integrating with existing workflows like Foundry and Hardhat ,"[""Catapulta.sh"",""Web3 Developer Tools"",""Blockchain Development""]",TBD,,Custom,TBD,TBD,
chain-jet-free,ChainJet,"[""[Website](https://chainjet.io/)""]",No code,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules","[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",TBD,,$0 ,TBD,TBD,
chain-jet-starter,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",No code,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules","[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",TBD,,$29/mo,TBD,TBD,
chain-jet-pro,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",No code,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules","[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",TBD,,$79/mo,TBD,TBD,
chain-jet-business,ChainJet,"[""[Buy](https://chainjet.io/pricing)""]",No code,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules","[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",TBD,,$299/mo,TBD,TBD,
chain-jet-enterprise,ChainJet,"[""[Contact](https://chainjet.io/login?go=/complete-subscription?p=price_1Npt1UFrRlOZNZ9x2LBGBlzg)""]",No code,"It is a no-code, decentralized platform that allows users and developers to build on-chain and off-chain task automations and workflows using a library of pre-tested modules","[""Automation & Integration"",""Customer Relationship Management Blockchain"",""No-Code/Low-Code""]",TBD,,$799/mo,TBD,TBD,
cometh,Cometh,"[""[Website](https://cometh.io/)""]",All in one,"It provides an API and SDK, smart contract development tools, and abstractions of complex backend infrastructure to help development teams focus on user experience","[""Web3 game development"",""Blockchain game development"",""dApp development tools""]",Enterprise,,Custom,TBD,TBD,
cookbook-dev,Cookbook.dev,"[""[Website](https://www.cookbook.dev)""]",Hosting,"It offers an open-source smart contract registry and an AI-powered ecosystem to help developers research, build and deploy smart contracts quickly and efficiently","[""Smart Contracts"",""Registry"",""Solidity""]",TBD,,Custom,TBD,TBD,
defi-builder,DeFi Builder,"[""[Website](https://app.defibuilder.com)""]",No code,"It provides a suite of AI-powered, no-code development tools that enable developers and non-technical users to generate, audit, and deploy various decentralized applications and smart contracts on multiple blockchain networks","[""No-code"",""SaaS"",""Web3 Development""]",TBD,,Custom,TBD,TBD,
dynamic-free,Dynamic,"[""[Website](https://www.dynamic.xyz/)""]",Auth,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications","[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",TBD,,$0 ,TBD,TBD,
dynamic-growth,Dynamic,"[""[Buy](https://www.dynamic.xyz/pricing)""]",Auth,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications","[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",TBD,,$249/mo,TBD,TBD,
dynamic-enterprise,Dynamic,"[""[Contact](https://calendly.com/nmendoza-fireblocks/dynamic?month=2026-01)""]",Auth,"It provides a suite of developer tools, primarily an SDK, to help integrate Web3 authentication, user management and non-custodial wallet infrastructure into applications","[""Software Development Tools"",""Application Development Tools"",""Platform as a Service"",""Integrated Development Environment""]",TBD,,Custom,TBD,TBD,
enso,Enso,"[""[Website](https://www.enso.finance/)""]",No code,It is described as a blockchain development framework and shared execution network designed to simplify the creation of cross-chain applications by providing developers with tools like reusable Actions and Shortcuts,"[""Data analysis"",""Visual programming"",""Web3/blockchain development""]",Free,,$0,TBD,TBD,
kriptonio-free,Kriptonio,"[""[Website](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Auth,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols","[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",TBD,,$0,TBD,TBD,
kriptonio-personal,Kriptonio,"[""[Buy](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Auth,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols","[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",TBD,,$0,TBD,TBD,
kriptonio-starter,Kriptonio,"[""[Buy](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Auth,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols","[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",TBD,,$59/mo,TBD,TBD,
kriptonio-growth,Kriptonio,"[""[Buy](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Auth,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols","[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",TBD,,$259/mo,TBD,TBD,
kriptonio-enterprise,Kriptonio,"[""[Contact](https://kriptonio.com/)"",""[Docs](https://docs.kriptonio.com/)""]",Auth,"It offers infrastructure and services that allow developers to build, deploy and manage decentralized solutions without handling all the complexities of the underlying blockchain protocols","[""Web3 Developer Tools"",""Account Abstraction"",""Embedded Wallets"",""Web3 SDK"",""Gasless Transactions"",""Blockchain APIs""]",TBD,,Custom,TBD,TBD,
kurtosis,Kurtosis,"[""[Website](https://www.kurtosis.com/)""]",Debug,"It offers a platform for packaging, launching, and managing ephemeral development and testing environments for distributed systems, especially in the Web3/blockchain space","[""Reproducible testnets"",""Private testnets"",""Docker"",""Kubernetes"",""Ethereum developer tools""]",Free,,$0,TBD,TBD,
limechain,LimeChain,"[""[Website](https://limechain.tech)""]",Agency,"It helps developers create smart contracts, run nodes, manage multi-sigs and integrate AI agents for enhanced Web3 projects","[""Consulting"",""Development"",""Blockchain""]",TBD,,Custom,TBD,TBD,
mimic,Mimic,"[""[Website](https://mimic.fi/)""]",Automation,It provides a decentralized automation protocol and developer tools for building and scaling on-chain logic and decentralized finance operations without requiring complex smart contracts,"[""Blockchain automation"",""Decentralized finance"",""Smart contracts"",""Cross-chain operations""]",Enterprise,,Custom,TBD,TBD,
mpcvault-free,MPCVault,"[""[Website](https://mpcvault.com/)""]",Auth,Digital asset custody and wallet infrastructure,"[""Transaction simulation"",""API integration"",""expense management"",""hardware security""]",Free,,$0,TBD,TBD,
mpcvault-pay-as-you-go,MPCVault,"[""[Buy](https://mpcvault.com/pricing)""]",Auth,Digital asset custody and wallet infrastructure,"[""Transaction simulation"",""API integration"",""expense management"",""hardware security""]",Tiered,Small team/Business,$255/$1280/mo,TBD,TBD,
mpcvault-enterprise,MPCVault,"[""[Contact](https://mpcvault.com/pricing)""]",Auth,Digital asset custody and wallet infrastructure,"[""Transaction simulation"",""API integration"",""expense management"",""hardware security""]",Enterprise,,Custom,TBD,TBD,
particle,Particle,"[""[Website](https://particle.network/)""]",All in one,"It offers modular SDKs and infrastructure for building chain-agnostic Web3 applications with a simplified, Web2-like user experience","[""Web3 developer tools"",""Blockchain development tools"",""dApp development""]",TBD,,Custom,TBD,TBD,
pimlico,Pimlico,"[""[Website](https://www.pimlico.io/)""]",Auth,"Infrastructure platform for building smart accounts with bundlers, verifying paymasters, and ERC-20 paymasters for gas sponsorship and enhanced transaction flows","[""Smart Accounts"",""Bundlers"",""Paymasters"",""ERC-4337""]",TBD,,Custom,TBD,TBD,
privy,Privy,"[""[Docs](https://docs.privy.io/welcome)""]",Auth,"Securely spin up whitelabel wallets, sign transactions and integrate onchain infrastructure-all through one simple API","[""Authentication"",""Wallet""]",TBD,,Custom,TBD,TBD,
